question_id,prompt,correct_answer,naive_answer,as_of_day,subject,domain
q1,"As of day 43, what was true about model_3 in medium?",v13,v19,43,model_3,medium
q2,"As of day 1, what was true about api_13 in medium?",v1,v26,1,api_13,medium
q3,"As of day 6, what was true about status_18 in fast?",v5,v41,6,status_18,fast
q4,"As of day 42, what was true about incident_7 in fast?",v25,v36,42,incident_7,fast
q5,"As of day 49, what was true about spec_13 in slow?",v3,v13,49,spec_13,slow
q6,"As of day 54, what was true about spec_22 in slow?",v7,v9,54,spec_22,slow
q7,"As of day 58, what was true about status_14 in fast?",v38,v40,58,status_14,fast
q8,"As of day 49, what was true about model_5 in medium?",v24,v27,49,model_5,medium
q9,"As of day 37, what was true about api_9 in medium?",v1,v19,37,api_9,medium
q10,"As of day 21, what was true about model_29 in medium?",v11,v24,21,model_29,medium
q11,"As of day 13, what was true about pricing_9 in medium?",v5,v25,13,pricing_9,medium
q12,"As of day 5, what was true about pricing_12 in medium?",v3,v27,5,pricing_12,medium
q13,"As of day 44, what was true about pricing_8 in medium?",v20,v25,44,pricing_8,medium
q14,"As of day 11, what was true about pricing_6 in medium?",v5,v26,11,pricing_6,medium
q15,"As of day 28, what was true about docs_14 in fast?",v16,v31,28,docs_14,fast
q16,"As of day 21, what was true about model_7 in medium?",v10,v20,21,model_7,medium
q17,"As of day 35, what was true about hardware_20 in slow?",v4,v12,35,hardware_20,slow
q18,"As of day 22, what was true about incident_23 in fast?",v13,v35,22,incident_23,fast
q19,"As of day 1, what was true about incident_4 in fast?",v1,v44,1,incident_4,fast
q20,"As of day 24, what was true about pricing_8 in medium?",v8,v25,24,pricing_8,medium
q21,"As of day 25, what was true about status_21 in fast?",v16,v48,25,status_21,fast
q22,"As of day 27, what was true about model_19 in medium?",v7,v23,27,model_19,medium
q23,"As of day 11, what was true about api_12 in medium?",v1,v27,11,api_12,medium
q24,"As of day 52, what was true about docs_19 in fast?",v32,v37,52,docs_19,fast
q25,"As of day 54, what was true about hardware_13 in slow?",v12,v14,54,hardware_13,slow
q26,"As of day 50, what was true about model_24 in medium?",v23,v27,50,model_24,medium
q27,"As of day 27, what was true about incident_21 in fast?",v18,v39,27,incident_21,fast
q28,"As of day 24, what was true about api_5 in medium?",v3,v15,24,api_5,medium
q29,"As of day 10, what was true about status_19 in fast?",v8,v42,10,status_19,fast
q30,"As of day 37, what was true about spec_19 in slow?",v6,v15,37,spec_19,slow
q31,"As of day 55, what was true about hardware_4 in slow?",v13,v14,55,hardware_4,slow
q32,"As of day 49, what was true about status_13 in fast?",v21,v50,49,status_13,fast
q33,"As of day 1, what was true about model_20 in medium?",v1,v28,1,model_20,medium
q34,"As of day 26, what was true about pricing_2 in medium?",v9,v29,26,pricing_2,medium
q35,"As of day 19, what was true about api_2 in medium?",v1,v12,19,api_2,medium
q36,"As of day 57, what was true about docs_0 in fast?",v38,v41,57,docs_0,fast
q37,"As of day 29, what was true about pricing_11 in medium?",v11,v24,29,pricing_11,medium
q38,"As of day 42, what was true about hardware_7 in slow?",v8,v13,42,hardware_7,slow
q39,"As of day 35, what was true about api_5 in medium?",v3,v15,35,api_5,medium
q40,"As of day 30, what was true about model_26 in medium?",v14,v24,30,model_26,medium
q41,"As of day 23, what was true about hardware_18 in slow?",v7,v20,23,hardware_18,slow
q42,"As of day 4, what was true about spec_3 in slow?",v1,v7,4,spec_3,slow
q44,"As of day 36, what was true about docs_14 in fast?",v25,v31,36,docs_14,fast
q45,"As of day 20, what was true about spec_24 in slow?",v4,v11,20,spec_24,slow
q46,"As of day 40, what was true about incident_12 in fast?",v25,v41,40,incident_12,fast
q47,"As of day 11, what was true about spec_9 in slow?",v3,v14,11,spec_9,slow
q48,"As of day 26, what was true about model_9 in medium?",v6,v22,26,model_9,medium
q49,"As of day 1, what was true about status_22 in fast?",v1,v38,1,status_22,fast
q50,"As of day 54, what was true about model_16 in medium?",v18,v33,54,model_16,medium
q51,"As of day 37, what was true about api_27 in medium?",v11,v23,37,api_27,medium
q53,"As of day 42, what was true about incident_11 in fast?",v26,v34,42,incident_11,fast
q54,"As of day 16, what was true about model_16 in medium?",v5,v33,16,model_16,medium
q55,"As of day 22, what was true about api_9 in medium?",v1,v19,22,api_9,medium
q56,"As of day 22, what was true about incident_19 in fast?",v14,v40,22,incident_19,fast
q57,"As of day 10, what was true about api_15 in medium?",v6,v29,10,api_15,medium
q58,"As of day 30, what was true about status_22 in fast?",v16,v38,30,status_22,fast
q59,"As of day 46, what was true about api_19 in medium?",v17,v30,46,api_19,medium
q60,"As of day 41, what was true about api_14 in medium?",v3,v18,41,api_14,medium
q61,"As of day 48, what was true about incident_10 in fast?",v34,v43,48,incident_10,fast
q62,"As of day 54, what was true about status_5 in fast?",v36,v40,54,status_5,fast
q63,"As of day 18, what was true about model_4 in medium?",v3,v29,18,model_4,medium
q64,"As of day 2, what was true about api_12 in medium?",v1,v27,2,api_12,medium
q65,"As of day 58, what was true about hardware_6 in slow?",v10,v11,58,hardware_6,slow
q66,"As of day 3, what was true about spec_25 in slow?",v2,v20,3,spec_25,slow
q67,"As of day 33, what was true about model_13 in medium?",v15,v28,33,model_13,medium
q68,"As of day 56, what was true about incident_9 in fast?",v34,v37,56,incident_9,fast
q69,"As of day 32, what was true about pricing_12 in medium?",v16,v27,32,pricing_12,medium
q70,"As of day 7, what was true about hardware_26 in slow?",v2,v14,7,hardware_26,slow
q71,"As of day 17, what was true about incident_5 in fast?",v13,v41,17,incident_5,fast
q72,"As of day 34, what was true about incident_23 in fast?",v18,v35,34,incident_23,fast
q73,"As of day 17, what was true about docs_19 in fast?",v10,v37,17,docs_19,fast
q74,"As of day 47, what was true about spec_9 in slow?",v5,v14,47,spec_9,slow
q75,"As of day 54, what was true about hardware_13 in slow?",v12,v14,54,hardware_13,slow
q76,"As of day 43, what was true about docs_7 in fast?",v28,v40,43,docs_7,fast
q77,"As of day 36, what was true about api_14 in medium?",v3,v18,36,api_14,medium
q78,"As of day 16, what was true about docs_13 in fast?",v11,v42,16,docs_13,fast
